Timestamp,Predicted_Temperature
2024-07-04,12.799542125016387
2024-07-05,12.79828492953402
2024-07-06,12.797027734051653
2024-07-07,12.7957705385694
2024-07-08,12.794513343087033
2024-07-09,12.793256147604666
2024-07-10,12.791998952122412
2024-07-11,12.790741756640045
2024-07-12,12.789484561157678
2024-07-13,12.788227365675311
2024-07-14,12.786970170193058
2024-07-15,12.785712974710691
2024-07-16,12.784455779228324
2024-07-17,12.78319858374607
2024-07-18,12.781941388263704
2024-07-19,12.780684192781337
2024-07-20,12.779426997299083
2024-07-21,12.778169801816716
2024-07-22,12.77691260633435
2024-07-23,12.775655410852096
2024-07-24,12.774398215369729
2024-07-25,12.773141019887362
2024-07-26,12.771883824405108
2024-07-27,12.770626628922741
2024-07-28,12.769369433440374
2024-07-29,12.768112237958007
2024-07-30,12.766855042475754
